trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'a': 0.1, 'e': 0.8461289094829856}",20,5,-50.56355483999166,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
168,False,"{'a': 0.1, 'e': 0.8452827805735026}",25,0,-118.8494297794928,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
169,False,"{'a': 0.1, 'e': 0.8444374977929291}",20,0,-68.54727970216925,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
170,False,"{'a': 0.1, 'e': 0.8435930602951361}",25,0,-162.89712643023233,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
171,False,"{'a': 0.1, 'e': 0.842749467234841}",20,0,-26.49900489570701,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
172,False,"{'a': 0.1, 'e': 0.8419067177676062}",20,0,-217.0446996822308,"{0: 7, 1: 4, 2: 4, 3: 2, 4: 3}",0
173,False,"{'a': 0.1, 'e': 0.8410648110498385}",25,0,-156.32479013901508,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
174,False,"{'a': 0.1, 'e': 0.8402237462387887}",35,3,-129.73311084898458,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 2}",1
175,False,"{'a': 0.1, 'e': 0.8393835224925499}",20,0,-48.88522349016921,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
176,False,"{'a': 0.1, 'e': 0.8385441389700574}",20,0,-79.95244185585437,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
177,False,"{'a': 0.1, 'e': 0.8377055948310873}",25,0,-134.7164365328501,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
178,False,"{'a': 0.1, 'e': 0.8368678892362562}",20,0,-77.78216259142422,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
179,False,"{'a': 0.1, 'e': 0.83603102134702}",20,1,-131.433865582596,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 2}",1
180,False,"{'a': 0.1, 'e': 0.8351949903256729}",20,0,-55.708222680706506,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.1, 'e': 0.8343597953353473}",30,0,-110.48405250448235,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",1
182,False,"{'a': 0.1, 'e': 0.8335254355400119}",30,7,-118.95755214170559,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 2}",1
